part,qtyPerBox,client,machine,labelFormat
P06511834AA,100,Infasco,,
P06511847AA,750,Infasco,,
P06512106AA,200,Infasco,,
P06512149AA,1300,Infasco,,
P06512313AA,3500,Infasco,,
P06512544AA,750,Infasco,,
P06512851AA,1050,Infasco,,
P10083390,875,Infasco,,
P1022068,450,Infasco,,
P1022168,1100,Infasco,,
P1022268,900,Infasco,,
P113900048,900,Infasco,,
P11502717,1300,Infasco,,
P11514517,2200,Infasco,,
P11514596,2500,Infasco,,
P11514597,1300,Infasco,,
P11514598,700,Infasco,,
P11515744,800,Infasco,,
P11515889,1500,Infasco,,
P11516074,700,Infasco,,
P11516076,2200,Infasco,,
P11516077,1200,Infasco,,
P11516078,700,Infasco,,
P11516133,500,Infasco,,
P11516382,450,Infasco,,
P11516383,300,Infasco,,
P11516650,800,Infasco,,
P11516754,650,Infasco,,
P11516755,500,Infasco,,
P11516781,800,Infasco,,
P11516782,500,Infasco,,
P11516783,350,Infasco,,
P11517068,5000,Infasco,,
P11517665,3000,Infasco,,
P11517996,1200,Infasco,,
P11518428,1200,Infasco,,
P11519114,600,Infasco,,
P11546364,3500,Infasco,,
P11546365,1900,Infasco,,
P11546366,1200,Infasco,,
P11546367,700,Infasco,,
P11546368,450,Infasco,,
P11546369,300,Infasco,,
P11546370,220,Infasco,,
P11546377,2150,Infasco,,
P11546378,1250,Infasco,,
P11546379,700,Infasco,,
P11546388,6750,Infasco,,
P11546389,4500,Infasco,,
P11546391,4500,Infasco,,
P11546437,1500,Infasco,,
P11546438,1200,Infasco,,
P11546440,1550,Infasco,,
P11546448,3300,Infasco,,
P11546449,2500,Infasco,,
P11546456,2700,Infasco,,
P11546462,650,Infasco,,
P11546463,450,Infasco,,
P11546465,1100,Infasco,,
P11546545,2500,Infasco,,
P11546546,1600,Infasco,,
P11546566,1800,Infasco,,
P11546571,1550,Infasco,,
P11546593,700,Infasco,,
P11546656,1500,Infasco,,
P11546676M,2000,Infasco,,
P11546703,4000,Infasco,,
P11546774,450,Infasco,,
P11546860,3000,Infasco,,
P11547059,550,Infasco,,
P11547139,700,Infasco,,
P11547176,850,Infasco,,
P11547205,700,Infasco,,
P11547274,4000,Infasco,,
P11547327,800,Infasco,,
P11547349,350,Infasco,,
P11547417,2500,Infasco,,
P11547509,550,Infasco,,
P11547830,275,Infasco,,
P11547985,1250,Infasco,,
P11548144,650,Infasco,,
P11548147,250,Infasco,,
P11548360,800,Infasco,,
P11548414,485,Infasco,,
P11548535,150,Infasco,,
P11548630,1000,Infasco,,
P11549058,2450,Infasco,,
P11549168,1000,Infasco,,
P11549169,660,Infasco,,
P11549169-M12NUT-002,660,Infasco,,
P11549170,400,Infasco,,
P11549171,280,Infasco,,
P11549204,210,Infasco,,
P11561114,400,Infasco,,
P11561395,2500,Infasco,,
P11561645,4000,Infasco,,
P11569605,1500,Infasco,,
P11569637,900,Infasco,,
P11569638,800,Infasco,,
P11569655,250,Infasco,,
P11588293,1150,Infasco,,
P11588325,500,Infasco,,
P11588709,2200,Infasco,,
P11588714,1400,Infasco,,
P11601873,550,Infasco,,
P11602031,145,Infasco,,
P11602292,1000,Infasco,,
P11602326,120,Infasco,,
P11602718,8000,Infasco,,
P11602888,425,Infasco,,
P11602904,1200,Infasco,,
P11609204,210,Infasco,,
P11609279,4000,Infasco,,
P11609280,2000,Infasco,,
P11609411,3000,Infasco,,
P11609486,200,Infasco,,
P11609618,800,Infasco,,
P11609789,3600,Infasco,,
P11609826,175,Infasco,,
P11610091,2500,Infasco,,
P11610091S,2000,Infasco,,
P11610091T,2500,Infasco,,
P11610122,1200,Infasco,,
P11610126,1200,Infasco,,
P11610128,1125,Infasco,,
P11610376,900,Infasco,,
P11610535,800,Infasco,,
P11611121,1300,Infasco,,
P11611122,2500,Infasco,,
P11611431,475,Infasco,,
P11611548,100,Infasco,,
P11611653,800,Infasco,,
P11611883,5500,Infasco,,
P11611960,8000,Infasco,,
P11611990,800,Infasco,,
P11612078,1850,Infasco,,
P11612234,1100,Infasco,,
P11612261,300,Infasco,,
P11739913,1200,Infasco,,
P1339,1500,Ready Rivet,,
P1400-N,1400,Infasco,,
P1420503001,1500,Infasco,,
P15017238,400,Infasco,,
P15046285,250,Infasco,,
P15047163,2000,Infasco,,
P1568517,2700,Infasco,,
P15685170,2700,Infasco,,
P1569605,1500,Infasco,,
P200393508,1200,Infasco,,
P2046350,1900,Infasco,,
P2117050,400,Infasco,,
P2152050,800,infasco,,
P2152051,800,INFASCO,,
P2200750,1200,Premier,,
P22275103AA,1200,Infasco,,
P22764042,250,Infasco,,
P22800396,1300,Infasco,,
P2603050,480,Infasco,,
P2W0399928,4500,Infasco,,
P3001150,2100,Infasco,,
P3001650,1900,Infasco,,
P3020450,1900,Infasco,,
P3052243-03S,1500,Infasco,,
P3052246-04S,2150,Infasco,,
P3052250-02S,650,Infasco,,
P3200750,1800,Infasco,,
P3326750,1200,Infasco,,
P3866766,2100,Infasco,,
P3948750,600,Infasco,,
P40037574,150,Infasco,,
P40050697,160,Infasco,,
P40068074,150,Infasco,,
P40073474,150,Infasco,,
P40109770,250,Infasco,,
P40110160,200,Infasco,,
P40161567,175,Infasco,,
P40173371,1750,Infasco,,
P40179994,170,Infasco,,
P40179995,270,Infasco,,
P4019770,250,Infasco,,
P40204490,300,Infasco,,
P4355350,1900,Infasco,,
P4382250,4000,Infasco,,
P4511150,2100,Infasco,,
P4519-19,1100,Infasco,,
P500009196,1200,Infasco,,
P500009297,1200,Infasco,,
P501571B,1100,Infasco,,
P52056965,700,Infasco,,
P54043001,425,Infasco,,
P61273,300,Infasco,,
P61525,3000,Infasco,,
P6M160MM,2300,PENN Engineered Fasteners Corp.,,
